subject_id,rpl_alpha,tar,resting_alpha_power,resting_total_power,alpha_power_c3,alpha_power_c4,alpha_asymmetry,rpl_lower_beta,resting_lower_beta_power,rpl_upper_beta,resting_upper_beta_power,smr_strength,IAF_c3,alpha_peak_amp_c3,beta_peak_amp_c3,beta_center_freq_c3,aperiodic_exp_c3,IAF_c4,alpha_peak_amp_c4,beta_peak_amp_c4,beta_center_freq_c4,aperiodic_exp_c4,alpha_var_C3,alpha_cv_C3,alpha_var_C4,alpha_cv_C4,coherence_mu,coherence_beta,coherence_low_beta,coherence_upper_beta,pse_C3,pse_C4,pse_Cz,pse_avg,lzc_C3,lzc_C4,lzc_Cz,lzc_avg
S001,0.19474051586755728,0.6753796137870977,8.242792091358757e-12,4.2327052768847896e-11,6.628976330324022e-12,1.039650433155893e-11,0.45001923505274277,0.07977805432007418,3.3767699150017935e-12,0.08623806889745757,3.650203292906227e-12,7.3815817759816795,11.980391025014141,9.004879599626852,4.835727235347998,23.823086559768946,0.4497811998925283,11.936824047011255,5.762345540591636,3.1454313901644837,23.16950115007017,0.18153667376624977,6.6057081352884824e-12,0.06105212923376966,4.662381594959286e-12,0.043478944624726255,0.1413406350395524,0.11539489239431343,0.12318373335751993,0.10938871108445992,0.9771043950896002,0.9883825239731177,0.9942162310045216,0.9865677166890797,0.0027157101296004607,0.009504985453601613,0.013578550648002305,0.008599748743734793
S002,0.20289132109239177,0.6222763050911503,7.848023947267283e-12,3.868092486663579e-11,6.806026405516016e-12,4.410709932997835e-12,-0.4337727967703593,0.11255362832221956,4.353678440599025e-12,0.20643007638000632,7.984906274668912e-12,5.823057109756064,11.73805945521453,3.7405573143285302,4.484895304585246,23.015610775938743,0.3360016152894126,9.269617384352188,4.485608405039664,7.161429897422176,23.69053809831791,0.3443760792924669,2.5491016116765322e-12,0.024610272447051867,1.4338240123314492e-12,0.014019597820657804,0.1757854216168699,0.14131408769008924,0.1357444789443682,0.14469878681368992,0.9977572845651251,0.9988378014183166,0.9877552084859457,0.9947834314897959,0.0027157101296004607,0.0027157101296004607,0.021725681036803685,0.009052367098668202
S003,0.09918317577358358,1.9459520666866483,3.0219455118233063e-10,3.0468327801096385e-09,1.9908508239507326e-11,8.757055383373354e-10,3.7838827008958944,0.06117786610396889,1.8639872786273076e-10,0.04374505140481631,1.3328385658777553e-10,1.8957280857970957,,1.6517893365120375,0.6995903874624352,19.7551256691831,0.23995771059203536,,2.139722508670739,1.1245801757257066,20.615690728849362,0.19573057642600997,5.24877061220641e-12,0.045847047124176164,2.6781185140251425e-10,0.4161858215936506,0.12391925746907068,0.12228752963838121,0.12173993073577481,0.12209479060273853,0.9807485129032727,0.9524384306046526,0.9952259820114822,0.9761376418398026,0.0027157101296004607,0.005431420259200921,0.0027157101296004607,0.0036209468394672807
S004,0.09490607893119611,1.3709960768071097,2.1622277069755225e-12,2.2782815719771427e-11,2.7933096152171087e-12,2.2829656351248783e-12,-0.20175181989078794,0.07532108240892463,1.7160263403362472e-12,0.06396113247058785,1.4572146943052915e-12,2.2749325540917837,,1.3546775148330459,1.6028902346317748,23.53979812141038,0.28185905882458806,,1.3338613547649931,1.519073852441894,20.764143137116026,0.22591154269766298,8.383689949469249e-13,0.00818492440418039,7.10990598749727e-13,0.006986332846491861,0.12504696431484388,0.13314877833980843,0.11011347406242865,0.1493567794197095,0.9982965919665316,0.999229681583197,0.9998734468929452,0.999133240147558,0.0027157101296004607,0.0027157101296004607,0.006789275324001152,0.004073565194400691
S005,0.05871192341758167,3.343045031473797,4.343365534390756e-12,7.397757187239597e-11,4.3161143728308485e-12,5.418837184243713e-12,0.22752570400785999,0.059561037004582124,4.40618089580091e-12,0.04356199881914271,3.2226108985483585e-12,1.5720367738736414,,1.737644759883619,1.4261289496733989,16.901255321466078,0.21448486718378276,8.528306251650134,1.201639750582989,1.0618952901830352,19.043262876687685,0.19582377477148916,1.50989861801769e-12,0.014582669445900514,3.417712845502134e-12,0.0318143451916754,0.1681224746855573,0.12725738719745366,0.1486585690798789,0.11176765952563099,0.9969550042366059,0.9919618059322967,0.9989123443401577,0.9959430515030201,0.10591269505441797,0.0027157101296004607,0.10998626024881865,0.07287155514427902
S006,0.08435778861662575,1.9278797800932446,2.50539546431513e-12,2.969963420569504e-11,3.175071671552347e-12,3.583738822503109e-12,0.12107641346463893,0.0886143847502254,2.6318148124444155e-12,0.09119199218145517,2.7083688102778207e-12,3.222631512151864,,1.9230916249046788,1.1870090823769535,19.487630687354855,0.31407646761632546,,1.3155185116607635,4.516017057222957,26.19919152111772,0.4585030581810963,1.5646517566032758e-12,0.01517616774385527,1.5694650028177586e-12,0.015223849735075226,0.12447216918469743,0.12285955482018976,0.13865932064083586,0.11161861420786552,0.9978203913659613,0.9989541227836584,0.9998332517232739,0.9988692552909645,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607
S007,0.37905803075370764,0.5359378702027734,1.5279008247608985e-11,4.0307834178393905e-11,1.1050587561481519e-11,1.7285370740088997e-11,0.44737692226873804,0.10761872082536542,4.337877553519696e-12,0.09057226470302211,3.650771826811015e-12,5.169653154521519,12.26749022823037,5.72984496690879,1.8178634098068,23.60454034294335,0.10546108605671993,10.662778618034809,4.6105351299616775,2.7785048571892994,18.361628097521503,0.6418896865173074,6.651768661737559e-12,0.061475364964950166,9.77470047338955e-12,0.08779573147815699,0.22138443561181964,0.15880642873753686,0.1742158278419273,0.14791622573211816,0.9863444766886462,0.9900078232078088,0.9722182311478439,0.982856843681433,0.07332417349921244,0.0027157101296004607,0.0027157101296004607,0.02625186458613779
S008,0.10676785876805112,1.612710244080938,2.5941932299384497e-12,2.4297511066267895e-11,2.8795046977654066e-12,3.0184080668322518e-12,0.04711126280178135,0.06045044446612381,1.4687953433764562e-12,0.050950230318359366,1.2379637849892347e-12,1.6257040749641263,8.283168097475318,1.044176220399074,1.7639261483173516,23.57417793504588,0.558060421124299,,1.4880596604350718,1.0318820685405403,22.807040504703377,0.3579796445835892,1.0350597597389223e-12,0.010146135071233563,9.54558361195448e-13,0.009348937546441005,0.1262922417687276,0.1233548383132593,0.12626329524211258,0.1207859193499758,0.9993603738415093,0.9986039531838747,0.9986981081005464,0.9988874783753102,0.0027157101296004607,0.0027157101296004607,0.005431420259200921,0.0036209468394672807
S009,0.07873562627694722,1.215917724406348,8.033461310038777e-12,1.0203083013249456e-10,8.368019479743305e-12,9.028817349116288e-12,0.07600415455652865,0.16728147710936814,1.7067867975258717e-11,0.17604312119464266,1.7961825794604736e-11,3.906147005182987,,0.4400763088304828,3.577518897678921,20.664485785277922,1.0049659208935795,,2.2052376636722295e-20,4.23551135641736,18.428737978759205,1.9999999999999998,5.641133375435741e-12,0.05155273698470253,3.7220217586968495e-12,0.03456471232010694,0.16603294825891313,0.14488709688684018,0.13987222644076433,0.14772301629947585,0.9948096986113243,0.9895921326112868,0.9924766009732356,0.992292810731949,0.0448092171384076,0.013578550648002305,0.008147130388801382,0.0221782993917371
S010,0.08836839045488253,1.5454798476644125,3.454994422611765e-11,3.909762761126391e-10,2.650795577448337e-11,3.510561185425684e-11,0.28091609373890236,0.03705729441532922,1.4488522973315117e-11,0.025241582351938567,9.868859871151452e-12,1.618908694509038,,1.3521125763120365,0.7254271276012094,19.934715370665238,0.29776145843813767,11.096721774729373,1.8748348123284684,0.957210920964378,18.294490080759616,0.3028599294513346,9.707594557291993e-12,0.07640327177844268,1.431765903918659e-11,0.10619563392732731,0.14019004743933886,0.13248345462395295,0.13582136432984998,0.12925514507002336,0.9720887405595592,0.9640746755325296,0.9804250556705983,0.972196157254229,0.0027157101296004607,0.1249226659616212,0.012220695583202074,0.04661969055814125
