subject_id,rpl_alpha,resting_alpha_power,resting_total_power,alpha_power_c3,alpha_power_c4,alpha_asymmetry,rpl_lower_beta,resting_lower_beta_power,rpl_upper_beta,resting_upper_beta_power,smr_strength,IAF_c3,alpha_peak_amp_c3,beta_peak_amp_c3,beta_center_freq_c3,aperiodic_exp_c3,IAF_c4,alpha_peak_amp_c4,beta_peak_amp_c4,beta_center_freq_c4,aperiodic_exp_c4,alpha_var_C3,alpha_cv_C3,alpha_var_C4,alpha_cv_C4,coherence_mu,coherence_beta,coherence_low_beta,coherence_upper_beta,pse_C3,pse_C4,pse_Cz,pse_avg,lzc_C3,lzc_C4,lzc_Cz,lzc_avg,theta_power,alpha_power,tar
S001,0.19474051586755697,8.242792091358748e-12,4.232705276884791e-11,6.628976330324017e-12,1.039650433155891e-11,0.4500192350527392,0.07977805432007418,3.3767699150017947e-12,0.08623806889745762,3.65020329290623e-12,7.022792890643892,11.978943559123163,22.815138449091002,12.760082496590394,23.81950674458105,0.5000000000000001,,61.51204659005066,6.2514040741015044,13.000000000000002,0.5000000000001865,6.601784499848018e-12,0.061019332603894444,4.663399802973774e-12,0.043488429269641596,0.14133197438071432,0.11545170886501659,0.12318502900860397,0.1094854518489405,0.9771378259893478,0.9883876913585214,0.9942044439501293,0.9865766537659996,0.0027157101296004607,0.009504985453601613,0.013578550648002305,0.008599748743734793,5.685271073314674e-12,6.728551940583135e-12,0.05326851128346351
S002,0.2021660619683541,7.847295232389515e-12,3.881608592454002e-11,6.816839054886924e-12,4.408732442152843e-12,-0.4358086626662683,0.11288925993064697,4.381919213425725e-12,0.20961088916424891,8.13627428451872e-12,5.940522957851371,11.726630337275886,10.176643168598323,34.33111505052612,22.893571604948804,0.5000000000000001,9.076708425745624,44.16329508108411,81.81027346849638,23.576032132798144,0.5000000000000242,2.558320671655758e-12,0.024697737559029632,1.4337253542100102e-12,0.014018715294421249,0.17596532185349853,0.14147179314373273,0.13589578524118878,0.14487395335223366,0.9977488264655109,0.9988373152682667,0.9877659059193301,0.9947840158843692,0.005431420259200921,0.0027157101296004607,0.021725681036803685,0.009957603808535023,3.514686412778157e-12,3.428551774366329e-12,0.03398178116663174
S003,0.09918317577358356,3.0219455118233073e-10,3.0468327801096406e-09,1.9908508239507326e-11,8.757055383373358e-10,3.7838827008958944,0.06117786610396887,1.8639872786273084e-10,0.0437450514048163,1.3328385658777558e-10,4.247567519396547,,51.445280750148335,7.098251389254615,19.972889452862564,0.5000000000000001,,93.33445249337541,21.950329944202302,25.687428551508983,0.5000000000000001,5.284604368968748e-12,0.046158914931120676,2.667545217972427e-10,0.4158616798108372,0.12338677266847412,0.12185024520652993,0.1221453347661737,0.12106467799397506,0.9807495960092956,0.952386421031261,0.9952254688260537,0.9761204952888701,0.0027157101296004607,0.005431420259200921,0.0027157101296004607,0.0036209468394672807,3.6115535051962575e-10,1.6939180700088572e-10,1.3406322728977365
S004,0.09490607893119611,2.1622277069755225e-12,2.2782815719771427e-11,2.7933096152171087e-12,2.282965635124878e-12,-0.20175181989078794,0.07532108240892463,1.7160263403362472e-12,0.06396113247058788,1.4572146943052921e-12,3.151023059621153,,79.30121704049637,18.015913197741103,23.955119294072947,0.50000000000034,10.131500756466915,68.58907559119343,5.787934231393932,20.84794883109726,0.5000000000000001,8.383471210591434e-13,0.008184708092432238,7.108964803050224e-13,0.006985405686405091,0.12513410812378953,0.13319519364122998,0.11014395246896015,0.1494141153691526,0.9982965711125817,0.9992301395318741,0.9998737259761016,0.9991334788735191,0.0027157101296004607,0.0027157101296004607,0.006789275324001152,0.004073565194400691,3.195264670754539e-12,1.5954367290227565e-12,0.03145086800775322
S005,0.058462719275940524,4.349915426748635e-12,7.440494524753964e-11,4.316240075674077e-12,5.4365506103220616e-12,0.23076011034400068,0.05940417843832759,4.419964644178839e-12,0.042855588298535155,3.1886677009036087e-12,3.573126347950094,,51.986930565891804,18.88815915202521,19.707314156448824,0.5000000000000001,,7.814120857458807,59.710772363582905,13.000000000002427,0.5000000000000001,1.5109442014511456e-12,0.014592698239428633,3.4160095255848218e-12,0.03179887220892086,0.16789400708354216,0.12718425303025693,0.14870817539923645,0.11160252517296201,0.9969525350741109,0.9919643343108012,0.998913242891473,0.9959433707587951,0.10591269505441797,0.0027157101296004607,0.10998626024881865,0.07287155514427902,7.541399437009171e-12,4.122103007321386e-12,0.0724284202795913
S006,0.08435778861662577,2.5053954643151287e-12,2.969963420569502e-11,3.175071671552345e-12,3.5837388225031076e-12,0.12107641346463893,0.08861438475022539,2.631814812444413e-12,0.09119199218145517,2.708368810277819e-12,2.8113008821767096,,19.712730343441404,16.587761030256566,18.992094565948346,0.5000000000000464,8.79001219974957,7.088170527919708e-33,37.43713682604275,25.52855231584548,0.5000000000000001,1.5648821464744142e-12,0.015178411101021584,1.5760384129374064e-12,0.01528623536277785,0.12442698823968024,0.12275007377790126,0.13853460275027768,0.1115137332839356,0.9978200003827009,0.9989519314947505,0.9998333354107679,0.9988684224294064,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607,0.0027157101296004607,4.401468650583845e-12,2.133916934606244e-12,0.04309507343581069
S007,0.3790580307537076,1.5279008247608972e-11,4.030783417839388e-11,1.1050587561481509e-11,1.7285370740088988e-11,0.4473769222687416,0.10761872082536542,4.337877553519693e-12,0.09057226470302217,3.650771826811015e-12,5.20991263566151,12.049142376640338,20.508986836958144,13.488920222290334,23.1664157298159,0.5000000000000001,10.662917899602448,13.52817065953829,13.403487321850413,18.36269438963904,0.6423780753375452,6.651641833883905e-12,0.06147387925730592,9.774617348541282e-12,0.08779606510836364,0.22133443817442994,0.15877521223658936,0.1740969254820315,0.14794531849612533,0.9863382563478605,0.9900080331519152,0.9722196849623062,0.982855324820694,0.07332417349921244,0.0027157101296004607,0.07332417349921244,0.04978801904267512,4.996095499526195e-12,9.730976908704939e-12,0.045530402082202326
S008,0.10676785876805103,2.5941932299384465e-12,2.4297511066267885e-11,2.8795046977654034e-12,3.018408066832246e-12,0.0471112628017778,0.060450444466123805,1.4687953433764554e-12,0.050950230318359366,1.2379637849892343e-12,1.8008520500467,8.283764300130121,9.240921554316197,4.418867082706049,23.579033216337066,0.557945700988768,,11.130454734417846,1.8468895848592262,16.06701760248956,0.5000000000000001,1.0363088771837253e-12,0.010158205048484966,9.52176008371926e-13,0.009325693036109032,0.12624988579170565,0.12329393199001852,0.1265430820248403,0.12049050335429463,0.9993582115761145,0.9986074302563069,0.9986968655618167,0.9988875024647461,0.006789275324001152,0.0027157101296004607,0.005431420259200921,0.004978801904267512,3.2421720321416363e-12,1.7469830724957206e-12,0.031865043407051756
S009,0.07873562627694722,8.03346131003878e-12,1.0203083013249461e-10,8.36801947974331e-12,9.028817349116292e-12,0.07600415455652865,0.1672814771093682,1.706786797525873e-11,0.17604312119464272,1.7961825794604752e-11,3.7836311192966505,,1.991746391465444,17.6592909143878,20.664408829766217,1.0058299308789955,,2.365457841926064e-11,99.99999993713686,24.27765060627328,1.9999999999941966,5.641901812985306e-12,0.05156096595996542,3.719539868402467e-12,0.03454291357296294,0.16601364135233682,0.14473793763966586,0.13971835790845918,0.14758479644721129,0.994807239811965,0.9895573243387001,0.9924957968696468,0.9922867870067705,0.0448092171384076,0.013578550648002305,0.008147130388801382,0.0221782993917371,1.0369977061299303e-11,7.737891139903205e-12,0.09625190312880129
S010,0.09120992728797848,3.4982775612279714e-11,3.8354131674535897e-10,3.20740811208473e-11,5.249758705906085e-11,0.492718945500382,0.038475291484840385,1.475686395825718e-11,0.02638165847113776,1.011845602794653e-11,3.77236506094507,,40.67236017750386,13.087646811647238,20.574663765302102,0.5000000000000001,8.354578675201228,99.99999999997623,7.573743994368164,27.4520277635794,0.5000000000000001,9.70282421965783e-12,0.07636768699906545,1.4336098571215422e-11,0.10637920428254025,0.1406145212453745,0.13321244944560096,0.13610431061579675,0.13027244545591687,0.972038295543251,0.9639728968948832,0.9806707767778996,0.9722273230720112,0.0027157101296004607,0.1249226659616212,0.012220695583202074,0.04661969055814125,5.581471094316651e-11,2.405064096806904e-11,0.4499348855241575
